thres	recall	precision	correct	recognized	all
thres:0.102046	0.862147	0.454045	correct:6842.000000	recognized:15069.000000	all:7936.000000
thres:0.103775	0.857233	0.456608	correct:6803.000000	recognized:14899.000000	all:7936.000000
thres:0.105505	0.851941	0.459869	correct:6761.000000	recognized:14702.000000	all:7936.000000
thres:0.107235	0.846396	0.463305	correct:6717.000000	recognized:14498.000000	all:7936.000000
thres:0.108964	0.840348	0.466005	correct:6669.000000	recognized:14311.000000	all:7936.000000
thres:0.110694	0.835811	0.469128	correct:6633.000000	recognized:14139.000000	all:7936.000000
thres:0.112423	0.829889	0.471777	correct:6586.000000	recognized:13960.000000	all:7936.000000
thres:0.114153	0.824471	0.474199	correct:6543.000000	recognized:13798.000000	all:7936.000000
thres:0.115883	0.818800	0.476987	correct:6498.000000	recognized:13623.000000	all:7936.000000
thres:0.117612	0.811870	0.480319	correct:6443.000000	recognized:13414.000000	all:7936.000000
thres:0.119342	0.806200	0.483561	correct:6398.000000	recognized:13231.000000	all:7936.000000
thres:0.121071	0.801159	0.487240	correct:6358.000000	recognized:13049.000000	all:7936.000000
thres:0.122801	0.794859	0.490437	correct:6308.000000	recognized:12862.000000	all:7936.000000
thres:0.124531	0.790827	0.494446	correct:6276.000000	recognized:12693.000000	all:7936.000000
thres:0.126260	0.785408	0.497367	correct:6233.000000	recognized:12532.000000	all:7936.000000
thres:0.127990	0.781124	0.500161	correct:6199.000000	recognized:12394.000000	all:7936.000000
thres:0.129719	0.776084	0.504010	correct:6159.000000	recognized:12220.000000	all:7936.000000
thres:0.131449	0.772051	0.507370	correct:6127.000000	recognized:12076.000000	all:7936.000000
thres:0.133179	0.766633	0.510531	correct:6084.000000	recognized:11917.000000	all:7936.000000
thres:0.134908	0.760333	0.513313	correct:6034.000000	recognized:11755.000000	all:7936.000000
thres:0.136638	0.754788	0.515624	correct:5990.000000	recognized:11617.000000	all:7936.000000
thres:0.138367	0.748866	0.517322	correct:5943.000000	recognized:11488.000000	all:7936.000000
thres:0.140097	0.742818	0.520025	correct:5895.000000	recognized:11336.000000	all:7936.000000
thres:0.141827	0.735635	0.522697	correct:5838.000000	recognized:11169.000000	all:7936.000000
thres:0.143556	0.728957	0.524384	correct:5785.000000	recognized:11032.000000	all:7936.000000
thres:0.145286	0.722026	0.526703	correct:5730.000000	recognized:10879.000000	all:7936.000000
thres:0.147015	0.716356	0.529872	correct:5685.000000	recognized:10729.000000	all:7936.000000
thres:0.148745	0.710181	0.532250	correct:5636.000000	recognized:10589.000000	all:7936.000000
thres:0.150474	0.705897	0.535820	correct:5602.000000	recognized:10455.000000	all:7936.000000
thres:0.152204	0.700983	0.539259	correct:5563.000000	recognized:10316.000000	all:7936.000000
thres:0.153934	0.694934	0.541642	correct:5515.000000	recognized:10182.000000	all:7936.000000
thres:0.155663	0.688634	0.544757	correct:5465.000000	recognized:10032.000000	all:7936.000000
thres:0.157393	0.683090	0.547410	correct:5421.000000	recognized:9903.000000	all:7936.000000
thres:0.159122	0.677545	0.550189	correct:5377.000000	recognized:9773.000000	all:7936.000000
thres:0.160852	0.672127	0.554009	correct:5334.000000	recognized:9628.000000	all:7936.000000
thres:0.162582	0.668095	0.557929	correct:5302.000000	recognized:9503.000000	all:7936.000000
thres:0.164311	0.661794	0.560273	correct:5252.000000	recognized:9374.000000	all:7936.000000
thres:0.166041	0.657258	0.563526	correct:5216.000000	recognized:9256.000000	all:7936.000000
thres:0.167770	0.650832	0.565284	correct:5165.000000	recognized:9137.000000	all:7936.000000
thres:0.169500	0.645665	0.567191	correct:5124.000000	recognized:9034.000000	all:7936.000000
thres:0.171230	0.640877	0.570627	correct:5086.000000	recognized:8913.000000	all:7936.000000
thres:0.172959	0.633443	0.572682	correct:5027.000000	recognized:8778.000000	all:7936.000000
thres:0.174689	0.628024	0.576452	correct:4984.000000	recognized:8646.000000	all:7936.000000
thres:0.176418	0.623488	0.579595	correct:4948.000000	recognized:8537.000000	all:7936.000000
thres:0.178148	0.618196	0.582868	correct:4906.000000	recognized:8417.000000	all:7936.000000
thres:0.179878	0.612147	0.585654	correct:4858.000000	recognized:8295.000000	all:7936.000000
