thres	recall	precision	correct	recognized	all
thres:1.542425	0.167213	0.498123	correct:1327.000000	recognized:2664.000000	all:7936.000000
thres:1.552918	0.165449	0.501145	correct:1313.000000	recognized:2620.000000	all:7936.000000
thres:1.563411	0.164567	0.502694	correct:1306.000000	recognized:2598.000000	all:7936.000000
thres:1.573903	0.163306	0.507241	correct:1296.000000	recognized:2555.000000	all:7936.000000
thres:1.584396	0.161920	0.510326	correct:1285.000000	recognized:2518.000000	all:7936.000000
thres:1.594889	0.159274	0.511120	correct:1264.000000	recognized:2473.000000	all:7936.000000
thres:1.605382	0.157132	0.512325	correct:1247.000000	recognized:2434.000000	all:7936.000000
thres:1.615874	0.155494	0.512246	correct:1234.000000	recognized:2409.000000	all:7936.000000
thres:1.626367	0.154108	0.514298	correct:1223.000000	recognized:2378.000000	all:7936.000000
thres:1.636860	0.149950	0.512931	correct:1190.000000	recognized:2320.000000	all:7936.000000
thres:1.647352	0.144783	0.512718	correct:1149.000000	recognized:2241.000000	all:7936.000000
thres:1.657845	0.143523	0.513757	correct:1139.000000	recognized:2217.000000	all:7936.000000
thres:1.668338	0.143145	0.515193	correct:1136.000000	recognized:2205.000000	all:7936.000000
thres:1.678830	0.142137	0.517906	correct:1128.000000	recognized:2178.000000	all:7936.000000
thres:1.689323	0.141381	0.518484	correct:1122.000000	recognized:2164.000000	all:7936.000000
thres:1.699816	0.139239	0.519023	correct:1105.000000	recognized:2129.000000	all:7936.000000
thres:1.710308	0.136467	0.516452	correct:1083.000000	recognized:2097.000000	all:7936.000000
thres:1.720801	0.135711	0.517540	correct:1077.000000	recognized:2081.000000	all:7936.000000
thres:1.731294	0.129410	0.519211	correct:1027.000000	recognized:1978.000000	all:7936.000000
thres:1.741787	0.127268	0.517418	correct:1010.000000	recognized:1952.000000	all:7936.000000
thres:1.752279	0.124622	0.515373	correct:989.000000	recognized:1919.000000	all:7936.000000
thres:1.762772	0.123488	0.514976	correct:980.000000	recognized:1903.000000	all:7936.000000
thres:1.773265	0.121472	0.518558	correct:964.000000	recognized:1859.000000	all:7936.000000
thres:1.783757	0.120464	0.519001	correct:956.000000	recognized:1842.000000	all:7936.000000
thres:1.794250	0.119456	0.517185	correct:948.000000	recognized:1833.000000	all:7936.000000
thres:1.804743	0.117440	0.523596	correct:932.000000	recognized:1780.000000	all:7936.000000
thres:1.815235	0.115297	0.523455	correct:915.000000	recognized:1748.000000	all:7936.000000
thres:1.825728	0.114541	0.523015	correct:909.000000	recognized:1738.000000	all:7936.000000
thres:1.836221	0.113407	0.523256	correct:900.000000	recognized:1720.000000	all:7936.000000
thres:1.846713	0.111769	0.522379	correct:887.000000	recognized:1698.000000	all:7936.000000
thres:1.857206	0.109627	0.519403	correct:870.000000	recognized:1675.000000	all:7936.000000
thres:1.867699	0.108115	0.519370	correct:858.000000	recognized:1652.000000	all:7936.000000
thres:1.878191	0.107107	0.518609	correct:850.000000	recognized:1639.000000	all:7936.000000
thres:1.888684	0.103453	0.513125	correct:821.000000	recognized:1600.000000	all:7936.000000
thres:1.899177	0.103201	0.515419	correct:819.000000	recognized:1589.000000	all:7936.000000
thres:1.909670	0.101562	0.515675	correct:806.000000	recognized:1563.000000	all:7936.000000
thres:1.920162	0.100554	0.514839	correct:798.000000	recognized:1550.000000	all:7936.000000
thres:1.930655	0.099798	0.516297	correct:792.000000	recognized:1534.000000	all:7936.000000
